标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
7号线芳华路龙阳路 芳雅苑精装两房出租 配套齐全 很热闹!!,2室,1厅,70平米,5/7层,芳雅苑,整租,南北,2/7/16/磁悬浮号线,4800,pudong安居客
杨思地铁2室5500元好房出租，居住舒适，干净整洁，随时入住,2室,2厅,109平米,12/18层,申江豪城,整租,朝南,6/8号线,5500,pudong安居客
证大家园高行楼层 干净整洁 精装修家具家电齐全 交通便利,3室,1厅,18平米,13/22层,证大家园(别墅),整租,东南,6/12号线,1370,pudong安居客
上南二村|精装全配价格到位 78双线耀华站直达 可拎包入住,1室,1厅,38平米,1/6层,上南二村,整租,朝南,7/8/13号线,4000,pudong安居客
入住减免2300 颜控福利 颜控福利 高颜值北欧风精装,1室,1厅,25平米,7/26层,潼港六村,整租,东南,6号线,2010,pudong安居客
上钢一村，近地铁8号线成山站+全新温馨精装一房+配套成熟,1室,1厅,38平米,3/6层,上钢二村,整租,南北,7/8/13号线,3000,pudong安居客
新出 上海未来 精装大两房 固定车位 南北通透 看房预约 欢,2室,2厅,103平米,7/11层,黄山新城上海未来,整租,南北,6号线,6800,pudong安居客
蛋壳公寓  高颜值北欧风精装 温馨社区氛围,1室,1厅,23平米,3/13层,临汾八村,整租,东南,6/7号线,2220,pudong安居客
新场汇锦城精装修 欧洲现代风格 拎包入住,3室,1厅,17平米,8/27层,汇锦城(二期),整租,东南,无,1480,pudong安居客
近蓝带世纪大道陆家嘴 小区花园位置，精装全配，拎包入住,2室,1厅,55平米,3/6层,潍坊五村,整租,南北,2/4/6/9号线,5600,pudong安居客
万达200米 大三房，可拎包入住！适合一家人住，近地铁,3室,2厅,96平米,9/18层,沪南路3468弄小区,整租,南北,无,5000,pudong安居客
思浦小区精装修房2室，采光好，出租场出门就是8号线杨思站,2室,2厅,78平米,3/6层,思浦小区,整租,朝南,6/8/11号线,4200,pudong安居客
入住减免2300 颜控福利 颜控福利 高颜值北欧风精装,3室,1厅,17平米,8/26层,盛第大厦,整租,东南,2/7/16/磁悬浮号线,1350,pudong安居客
"电梯房,小区绿化好,停车方便,两年内装修,看中随时入住.",1室,0厅,26平米,3/11层,莲康苑,合租,朝南,无,1750,pudong安居客
金杨六街坊新出+9号线200米，致远陪读佳选+全新宜家风格,2室,1厅,85平米,3/6层,金杨新村六街坊,整租,南北,6/9号线,5000,pudong安居客
入住减免2300 颜控福利 强迫症福利 温馨社区氛围 ,1室,1厅,28平米,8/23层,龙沟新苑,整租,东南,2/7/16/磁悬浮号线,2340,pudong安居客
楼层 干净整洁 精装修家具家电齐全 交通便利,3室,1厅,16平米,6/27层,临沂七村,整租,东南,6/7号线,1190,pudong安居客
世纪公园 绿缘公寓 3室厅2卫 北,3室,0厅,8平米,3/13层,绿缘公寓,合租,朝北,2/7/磁悬浮号线,2560,pudong安居客
个性的房源标题只能吸引您的点击！真实的房源才能得到您的青睐。,3室,1厅,25平米,3/6层,明丰花园,整租,南北,11号线,6000,pudong安居客
有卫生间洁癖的你，没关系！选择蛋壳公寓，给你超大空间自由发挥,3室,1厅,18平米,13/26层,东昌小区,合租,东南,2/4/9号线,1800,pudong安居客
蛋壳公寓直租 精装主卧 房间实拍 性价比高,3室,1厅,18平米,16/28层,东昌小区,合租,东南,2/4/9号线,1470,pudong安居客
世茂滨江花园2房出租，简约风格，房子超好，实拍实照，有钥匙。,2室,2厅,126平米,51/58层,世茂滨江花园(北区),整租,朝南,9号线,15800,pudong安居客
拖包搬家很累赘？选蛋壳啊！直接拎包入住，方便家具样样齐全,3室,1厅,21平米,10/26层,仁恒公寓,合租,东南,2/4/6/9号线,1200,pudong安居客
梅园三街坊，居家装修一房，朝南户型，干净明亮，可押一付一。,1室,1厅,42平米,3/6层,梅园三街坊,整租,朝南,2/4/6/9号线,3500,pudong安居客
张江公馆新出好房，带固定车位，两房朝南，近家乐福和集电港,2室,2厅,90平米,23/26层,张江公馆,整租,南北,无,6500,pudong安居客
急租、朋友房子委托、。精装两房、总有一处让人忘形的舒展自己,2室,2厅,83平米,6/11层,大华锦绣华城四街区,整租,南北,6/7号线,6100,pudong安居客
汇腾东苑 朝南主次卧 电梯9楼精装全配 随时看房！,3室,2厅,22平米,9/11层,汇腾东苑,合租,朝南,无,1000,pudong安居客
东方知音苑+建平陪读+3房2厅+近金桥国际6号线+办居住证,3室,2厅,124平米,3/6层,东方知音苑,整租,朝南,6号线,10000,pudong安居客
格局方正 双南设计 精心呈现品质感与实用性兼具地户型经典,1室,2厅,65平米,13/20层,洪山花苑,整租,南北,6/7/8号线,5300,pudong安居客
"北高大楼电梯双南两房,近浦电路站,有钥匙随时看房,拎包入住",2室,1厅,65平米,3/17层,北高大楼,整租,朝南,2/4/6/9号线,5500,pudong安居客
汇雅苑精装大2房，地铁医院近，采光好，绿化好，配套全拎包入住,2室,1厅,89平米,15/18层,民乐城汇雅苑南苑,整租,朝南,无,2200,pudong安居客
入住减免2300  颜控福利 颜控福利 高颜值北欧风精装,1室,1厅,32平米,25/30层,环龙苑,整租,东南,无,2630,pudong安居客
蛋壳公寓直租 家具齐全 交通便利 房价透明,1室,1厅,22平米,3/13层,"沂南路56,58,60,62号小区",整租,东南,6号线,2130,pudong安居客
龙阳路800米，家电家具全配，生活方便，适合年轻人,2室,1厅,18平米,4/6层,白杨小区,合租,朝东,2/7/16/磁悬浮号线,1800,pudong安居客
金色维也纳别墅装修 家具可全配可选配 花园100平 有钥匙,5室,3厅,320平米,1/3层,金色维也纳金樽花园,整租,南北,7/9号线,23000,pudong安居客
入住减免2300 别和好房擦肩而过 享受居住乐趣,1室,1厅,23平米,12/27层,申波苑,整租,东南,2/7/16/磁悬浮号线,2120,pudong安居客
地杰国际城 中装一房 近地铁 拎包入住 挂牌价可谈,1室,2厅,56平米,11/18层,地杰国际城D街坊,整租,朝南,11号线,3500,pudong安居客
"地铁6,9号线+门口公交菜场+精致装修+拎包入住+看房方便，",1室,1厅,52平米,1/6层,金杨新村四街坊,整租,南北,6/9号线,3400,pudong安居客
出门不带钥匙，让你的包包足够放化妆品、，智能门锁你放心,3室,1厅,19平米,13/33层,环龙苑,整租,东南,无,1880,pudong安居客
精装修单间出租，地铁好房，数量有限，欲租从速！,3室,1厅,17平米,17/30层,莲鼎苑,合租,东南,无,1080,pudong安居客
全进材料装修 民用水电 碧云金桥酒店公寓 蓝天路地铁站 拎包,1室,1厅,65平米,16/19层,金桥酒店公寓,整租,朝南,9号线,3500,pudong安居客
联洋花园(三期) 4室2厅 17000元,4室,2厅,160平米,8/17层,联洋花园(二期),整租,朝南,2/9号线,17000,pudong安居客
南北通透 采光好 地段 环境优美 交通便利 方便出行,3室,1厅,25平米,14/26层,南园坊,合租,朝南,无,2070,pudong安居客
近万达豪装三房两卫 带车位 随时看 拎包入住 高档小区,3室,2厅,125平米,3/18层,绿地景汇佳苑,整租,南北,无,5000,pudong安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,3室,1厅,18平米,14/28层,丝庐雅苑,整租,东南,无,1280,pudong安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,3室,1厅,56平米,15/30层,金杨新村九街坊,整租,朝南,6/9号线,3230,pudong安居客
七宝近地铁站小区，精装舒适，在这里遇见更多新朋友,3室,1厅,20平米,14/28层,宝仪花苑,合租,东南,9号线,1000,minhang安居客
航华嘉丰新苑精装修 欧洲现代风格 拎包入住,3室,1厅,18平米,18/29层,嘉丰新苑,合租,东南,10号线,1300,minhang安居客
蛋壳公寓直租 押一付一  房间实拍 独立卫浴,3室,1厅,16平米,10/26层,一品漫城((二期公寓),合租,东南,8号线,1330,minhang安居客
房东自住精装修 诚心出租 让你住进去有家的感觉 急租随时看房,3室,2厅,132平米,9/16层,上海欣苑西班牙名园,整租,南北,1号线,7000,minhang安居客
美邻苑隔壁就是公交站成熟小区 位于繁华路段精装修住宅,2室,2厅,76平米,2/6层,美邻苑,整租,朝南,17号线,4500,minhang安居客
七仪花苑精致装修，家电全配，交通便利适合白领入住,1室,1厅,27平米,25/32层,宝仪花苑,整租,东南,9号线,2850,minhang安居客
拎包即可入住，干净整洁的公寓住所，座的你都挑不出来毛病,3室,1厅,18平米,4/22层,绿水家园,整租,东南,5号线,1000,minhang安居客
七仪花苑婚房出租 全新全套家具家电 温馨舒适,1室,1厅,28平米,15/23层,宝仪花苑,整租,东南,9号线,2790,minhang安居客
静安花苑，靠近九号线+万象城+爱琴海购物公园 全新出租,2室,2厅,85平米,3/6层,静安花苑,整租,朝南,9/12号线,6600,minhang安居客
随时看房+单间 1 0 0 0元至1 3 0 0元+限住一人,3室,1厅,15平米,3/6层,江南苑,合租,南北,1/5号线,1000,minhang安居客
颛桥众众德尚世嘉环境优美，精致装修，近地铁站，随时看房,1室,1厅,31平米,14/26层,众众德尚世嘉(公寓),整租,东南,5号线,2290,minhang安居客
金虹桥流晶逸彩虹华苑住蛋壳 豪华装修近地铁 出入无需带钥匙,3室,1厅,17平米,11/27层,流晶逸彩虹华苑,合租,东南,10号线,1040,minhang安居客
和时间赛跑，赶地铁，住蛋壳公寓，出门左右拐就到地铁站,3室,1厅,17平米,14/25层,众众德尚世嘉(别墅),合租,东南,5号线,1310,minhang安居客
龙柏新村 龙柏易居公寓 3室厅2卫 西,3室,0厅,7平米,2/11层,龙柏易居公寓,合租,朝西,10号线,2260,minhang安居客
吴泾坐公交 转地铁？不 ！住蛋壳，分就让你到地铁口,3室,1厅,20平米,13/25层,吴泾小区,整租,东南,无,1410,minhang安居客
星河湾一期288平4房套间，豪装带地暖，景观楼层，可签5年,4室,2厅,288平米,14/28层,上海星河湾(一期),整租,南北,无,24000,minhang安居客
颛桥招商雍华苑舒适两房 干净整洁 急租 拎包入住,3室,1厅,19平米,9/26层,招商雍华苑(别墅),整租,东南,5号线,1780,minhang安居客
推：1/12双线地铁口，景观楼层，婚房精装大三房，拎包入住！,3室,2厅,172平米,7/12层,南方城,整租,南北,1/12号线,8000,minhang安居客
莘南花苑 两房朝南 精装全配 两站公交直达地铁 随时看房！！,2室,1厅,83平米,3/6层,莘南花苑一村,整租,南北,1/5号线,3800,minhang安居客
水城路 金虹大厦 3室厅2卫 北,3室,0厅,11平米,2/7层,金虹大厦,合租,朝北,9号线,2560,minhang安居客
浦江水语人家北苑婚房出租 全新全套家具家电 温馨舒适,3室,1厅,18平米,25/28层,水语人家北苑,整租,东南,浦江号线,1390,minhang安居客
浦江浦江瑞和城壹街区精装修 欧洲现代风格 拎包入住,3室,1厅,21平米,24/32层,浦江瑞和城壹街区,整租,东南,浦江号线,1630,minhang安居客
近地铁站，配套齐全，服务好，随时带看，毕业季租房,3室,1厅,17平米,12/24层,银都新村(1-7区),整租,东南,5号线,1220,minhang安居客
地铁1号线莲花地铁  采光好 南方城城开中心商务大楼 电梯房,3室,1厅,120平米,6/12层,望族苑,整租,南北,1号线,6000,minhang安居客
颛溪七村+万达+地铁5号线+精装修+家具齐全+随时看房拎包住,3室,1厅,80平米,3/6层,颛溪七村,整租,南北,5号线,5900,minhang安居客
高品质小区 降价急租 200万软装 4房景观位置 钥匙房,4室,2厅,288平米,15/30层,上海星河湾(二期),整租,南北,无,25000,minhang安居客
虹梅路永兆豪庭近地铁站小区采光好，南北通透，随时看房,3室,1厅,18平米,12/25层,永兆豪庭(东区),合租,东南,9/12号线,1110,minhang安居客
拎包即可入住，干净整洁的公寓住所，座的你都挑不出来毛病,3室,1厅,18平米,6/27层,欧香名邸(公寓),合租,东南,9号线,1150,minhang安居客
秒杀+朝南单间带阳台1100元+单身白领公寓+可以做饭,3室,1厅,14平米,5/14层,江南苑,合租,南北,1/5号线,1100,minhang安居客
出门9号线+房东出租+随时看房 温馨舒服+家电家具+拎包入住,2室,1厅,75平米,3/6层,海上新村,整租,南北,9号线,4800,minhang安居客
虹梅路标志小区+精装修+近地铁+户型朝南+拎包入住+随时看房,3室,2厅,145平米,10/13层,虹桥花苑,整租,南北,10号线,14000,minhang安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,1室,1厅,26平米,19/24层,叶茂别墅,整租,东南,浦江号线,2160,minhang安居客
房主诚意出租，干净清爽，配套设施齐全，看房随时,1室,1厅,28平米,17/27层,地铁明珠苑,整租,东南,1/5号线,2520,minhang安居客
精装大两房，交通便利，诚意出租，拎包入住，随时看房，急租,2室,2厅,100平米,6/13层,东苑新天地(南区),整租,南北,12号线,5300,minhang安居客
近地铁精装大两房，南北通透采光好带阳台，有钥匙看房方便,2室,1厅,68平米,3/6层,丹桂花园,整租,朝南,10号线,5800,minhang安居客
近地铁10号线，精装全配，采光好，婚房装修，看房方便,1室,1厅,49平米,4/6层,京润花园,整租,朝南,10号线,3400,minhang安居客
近71路电车，精装大三房两厅两卫出租，看房方便，采光好,3室,2厅,122平米,5/14层,华菁公寓,整租,朝南,10号线,8000,minhang安居客
天安豪园/他们说苦尽甘来，我信了，因为你说要跟我租个房子~,2室,2厅,86平米,2/13层,天安豪园,整租,朝南,9/10号线,7800,minhang安居客
颛桥日月华城好房出租，家具齐全，装修小清新，随时看房,1室,1厅,35平米,9/24层,日月华城,整租,东南,5号线,2560,minhang安居客
莲花路 莲花河畔景苑 4室厅2卫 北,4室,0厅,9平米,6/6层,莲花河畔景苑,合租,朝北,1号线,2390,minhang安居客
古美八村精装两房一厅 宜家装修 简约时尚 随时看房 拎包入住,2室,1厅,78平米,3/6层,古美八村,整租,南北,1/12号线,4000,minhang安居客
精装修 热水 沐浴 家具齐全 免费无线网 电梯房,1室,1厅,24平米,16/21层,永兆豪庭(东区),整租,东南,9/12号线,2010,minhang安居客
小区房源，安静舒适家具齐全，服务周到，住得放心,3室,1厅,17平米,11/31层,旭辉浦江国际,整租,东南,8号线,1680,minhang安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,1室,1厅,33平米,16/26层,莲浦府邸(东区公寓),整租,东南,12号线,2560,minhang安居客
品质高端小区+精装带地暖+采光好通风好+带车位近地铁+高绿化,3室,2厅,126平米,6/10层,虹桥花苑,整租,南北,10号线,12000,minhang安居客
（新）首套出租，精装修， 欧洲现代风格 ，拎包入住.,3室,1厅,130平米,25/27层,流晶逸彩虹华苑,整租,东南,10号线,9000,minhang安居客
蛋壳公寓 超享受！全新配置  一人一锁 安全巡查,3室,1厅,15平米,6/24层,汇金公寓,合租,东南,10号线,1040,minhang安居客
中友嘉园，楼下是小吃一条街！对面漕河泾,4室,2厅,140平米,3/18层,中友嘉园,整租,朝南,9/12号线,13000,minhang安居客
朝南大次卧大阳台带电梯  阳光充足 干净卫生 免费看房,1室,1厅,26平米,10/29层,春申复地城,整租,东南,5号线,2140,minhang安居客
真实拍摄图片！全新简欧装修！全屋地暖！拎包入住！随时看房！！,2室,2厅,106平米,2/4层,名都城(一期),整租,南北,无,12000,minhang安居客
